DateMonth,client,noOfTickets
2018/02,DAWM,541
2018/02,DIAM,6
2018/02,DISNEY,10
2018/02,DLG,9
2018/02,DTCC,28
2018/02,DYNEX,7
2018/02,EASTSPRING,49
2018/02,EATONVANCE,43
2018/02,ENDUR,53
2018/02,ENS,9
2018/02,EdwardJones,2
2018/02,FANNIEMAE,6
2018/02,FITB,25
2018/02,FRBNY,3
2018/02,FRE,41
2018/02,GAFG,30
2018/02,GEAM,34
2018/02,GENWORTH,10
2018/02,GIC,52
2018/02,GMAC,11
2018/02,GOOGLE,14
2018/02,GREYCASTLE,2
2018/02,GSMM,1
2018/02,GUGGENHEIM,40
2018/02,HCSC,5
2018/02,HIC,8
2018/02,HIERS,6
2018/02,HIM,88
2018/02,HMANN,9
2018/02,HORIZON,16
2018/02,IBM,6
2018/02,IIM,61
2018/02,ILLTRS,12
2018/02,ING,95
2018/02,INVESCO,105
2018/02,ISSSTE,2
2018/02,JAGUAR,5
2018/02,JPM-Pension,7
2018/02,JPM-Team,11
2018/02,JUPITER,20
2018/02,KRK,30
2018/02,LANC,63
2018/02,LCP,14
2018/02,LMGINV,34
2018/02,Latvijas Banka,9
2018/02,MEAG,33
2018/02,MERCK,3
2018/02,METAFORE,29
2018/02,METLIFE,37
2018/02,MHTB,2
2018/02,MICHELIN,4
2018/02,MIZUHO,45
2018/02,MIZUHOBANK,8
2018/02,MS-INS,4
2018/02,MSIM,100
2018/02,NBG,81
2018/02,NDRIO,8
2018/02,NJM,4
2018/02,NLI,3
2018/02,NMXERB,1
2018/02,NOKIA,4
2018/02,NOVAE,2
2018/02,NT,12
2018/02,NTGA,14
2018/02,NTGI,35
2018/02,NWM,18
2018/02,NYLIM,19
2018/02,NYSCRF,16
2018/02,NYSIF,12
2018/02,OCERS,2
2018/02,ONEAMERICA,5
2018/02,ONEWEST,5
2018/02,ONFA,10
2018/02,OREGON,7
2018/02,PARTNERRE,8
2018/02,PB2,27
2018/02,PBGC,6
2018/02,PD1,48
2018/02,PG1,16
2018/02,PIONEER,93
2018/02,PNC,60
2018/02,PPF,73
2018/02,PPMG,93
2018/02,PRINCIPAL,11
2018/02,PRU,98
2018/02,PRUGP,11
2018/02,PSERS,16
2018/02,QIC,28
2018/02,QUALCOMM,5
2018/02,RAYTHEON,38
2018/02,RED,8
2018/02,REGIONS,16
2018/02,RENRE,19
2018/02,RGA,33
2018/02,RVSI,92
2018/02,SCHRODERS,106
2018/02,SCHWAB,7
2018/02,SEI,78
2018/02,SELECTIVE,9
2018/02,SENTINEL,10
2018/02,SGCP,1
2018/02,SLOAN,2
2018/02,SMAM,2
2018/02,STANDISH,17
2018/02,SUNLIFE,15
2018/02,SUNSUPER,19
2018/02,SURAAM,13
2018/02,SWISSRE,39
2018/02,TDBANK,8
2018/02,TEA,8
2018/02,TFL,1
2018/02,TOKMAR,38
2018/02,TWG,5
2018/02,UAWRMBT,27
2018/02,UBSWM,1
2018/02,UCREGENTS,26
2018/02,UNIONBANK,6
2018/02,UP1,11
2018/02,VALIDUS,8
2018/02,VANGUARD,59
2018/02,VIMCO,14
2018/02,VRS,4
2018/02,WACHOVIA,28
2018/02,WATFORD,3
2018/02,WBLAIR,2
2018/02,WRBERKLEY,3
2018/03,,148
2018/03,1199,7
2018/03,ABN,5
2018/03,AC1,49
2018/03,AEG,34
2018/03,AFLAC,17
2018/03,AGFSA,3
2018/03,AHSS,8
2018/03,AIRBUS,1
2018/03,AKAAN,3
2018/03,ALIMCO,4
2018/03,ALLEGHANY,4
2018/03,ALLSTATE,54
2018/03,AMBAC,12
2018/03,AMCAP,3
2018/03,AMFAM,25
2018/03,AMP,35
2018/03,APFC,10
2018/03,ARCH,52
2018/03,ARGO,10
2018/03,ARMOUR,8
2018/03,ASPEN,4
2018/03,AT2,1
2018/03,ATHENE,18
2018/03,AUSSUPER,1
2018/03,AVIVA,130
2018/03,AWAC,12
2018/03,AXIS,13
2018/03,BANAMEX,18
2018/03,BCBSM,9
2018/03,BEN,1
2018/03,BHF,44
2018/03,BLK,2389
2018/03,BNY,26
2018/03,BNYMAS,31
2018/03,BOCI PRU,4
2018/03,BOEING,70
2018/03,BRAEBURN,2
2018/03,BSP,9
2018/03,CAL,7
2018/03,CALSTRS,42
2018/03,CAM,8
2018/03,CANO,25
2018/03,CAPGROUP,48
2018/03,CATLIN,38
2018/03,CFS,47
2018/03,CHIMERA,3
2018/03,COAL,9
2018/03,COMPASS,12
2018/03,CSAM,41
2018/03,DAN,3
2018/03,DAWM,679
2018/03,DIAM,3
2018/03,DISNEY,21
2018/03,DLG,15
2018/03,DTCC,32
2018/03,DYNEX,6
2018/03,EASTSPRING,91
2018/03,EATONVANCE,85
2018/03,ENDUR,63
2018/03,ENS,14
2018/03,EQUITRUST,1
2018/03,EdwardJones,5
2018/03,FANNIEMAE,4
2018/03,FITB,42
2018/03,FNFG,2
2018/03,FRBNY,6
2018/03,FRE,48
2018/03,GAFG,62
2018/03,GEAM,60
2018/03,GENWORTH,13
2018/03,GIC,60
2018/03,GMAC,8
2018/03,GOOGLE,4
2018/03,GREYCASTLE,1
2018/03,GSMM,5
2018/03,GUGGENHEIM,77
2018/03,HCSC,14
2018/03,HIC,19
2018/03,HIERS,7
2018/03,HIM,119
2018/03,HMANN,16
2018/03,HORIZON,8
2018/03,IBM,2
2018/03,IIM,83
2018/03,ILLTRS,23
2018/03,ING,71
2018/03,INVESCO,118
2018/03,ISSSTE,6
2018/03,JAGUAR,9
2018/03,JPM-Pension,5
2018/03,JPM-Team,30
2018/03,JUPITER,22
2018/03,KRK,32
2018/03,LANC,73
2018/03,LCP,11
2018/03,LMGINV,38
2018/03,Latvijas Banka,15
2018/03,MEAG,44
2018/03,MERCK,20
2018/03,METAFORE,11
2018/03,METLIFE,58
2018/03,MHTB,1
2018/03,MICHELIN,4
2018/03,MIZUHO,55
2018/03,MIZUHOBANK,13
2018/03,MO1,2
2018/03,MS-INS,2
2018/03,MSIM,149
2018/03,NBG,86
2018/03,NDRIO,8
2018/03,NGUKPS,1
2018/03,NJM,15
2018/03,NMXERB,32
2018/03,NOKIA,5
2018/03,NOVAE,4
2018/03,NT,11
2018/03,NTGA,5
2018/03,NTGI,46
2018/03,NWM,16
2018/03,NYLIM,121
2018/03,NYSCRF,51
2018/03,NYSIF,10
2018/03,OCICL,3
2018/03,ONEAMERICA,3
2018/03,ONEWEST,8
2018/03,ONFA,13
2018/03,OREGON,25
2018/03,PARTNERRE,4
2018/03,PB2,23
2018/03,PBGC,13
2018/03,PD1,74
2018/03,PFA,3
2018/03,PG1,33
2018/03,PIONEER,121
2018/03,PNC,77
2018/03,PPF,52
2018/03,PPMG,112
2018/03,PRINCIPAL,32
2018/03,PRU,182
2018/03,PRUGP,6
2018/03,PSERS,17
2018/03,QIC,32
2018/03,QUALCOMM,15
2018/03,RAYTHEON,33
2018/03,RED,82
2018/03,REGIONS,20
2018/03,RENRE,20
2018/03,REUTERS,2
2018/03,RGA,19
2018/03,RVSI,283
2018/03,SCHRODERS,126
2018/03,SCHWAB,14
2018/03,SEI,138
2018/03,SELECTIVE,13
2018/03,SENTINEL,7
2018/03,SGCP,5
2018/03,SH1,4
2018/03,SLOAN,1
2018/03,SMAM,4
2018/03,SPC,6
2018/03,STANDISH,6
2018/03,SUNLIFE,51
2018/03,SUNSUPER,20
2018/03,SURAAM,22
2018/03,SW1,6
2018/03,SWISSRE,44
2018/03,TDBANK,1
2018/03,TEA,16
2018/03,TFL,1
2018/03,TOKMAR,33
2018/03,UAWRMBT,32
2018/03,UCREGENTS,50
2018/03,UNIONBANK,8
2018/03,UP1,15
2018/03,VALIDUS,6
2018/03,VANGUARD,69
2018/03,VIMCO,25
2018/03,VRS,8
2018/03,WACHOVIA,28
2018/03,WATFORD,4
2018/03,WBLAIR,12
2018/03,WRBERKLEY,12
2018/04,,120
2018/04,1199,13
2018/04,ABN,13
2018/04,AC1,49
2018/04,AEG,40
2018/04,AEGONUK,1
2018/04,AFLAC,35
2018/04,AGFSA,5
2018/04,AHSS,3
2018/04,AIRBUS,1
2018/04,AKAAN,3
2018/04,ALIMCO,6
2018/04,ALLSTATE,46
2018/04,AMBAC,21
2018/04,AMCAP,9
2018/04,AMFAM,25
2018/04,AMP,10
2018/04,APFC,17
2018/04,ARCH,63
2018/04,ARGO,12
2018/04,ARMOUR,14
2018/04,ASPEN,2
2018/04,ATHENE,22
2018/04,ATT,5
2018/04,AUSSUPER,8
2018/04,AVIVA,162
2018/04,AWAC,8
2018/04,AXIS,18
2018/04,BANAMEX,36
2018/04,BCBSM,5
2018/04,BEN,3
2018/04,BHF,31
2018/04,BLK,3014
2018/04,BNPPAM,7
2018/04,BNY,19
2018/04,BNYMAS,30
2018/04,BOCI PRU,3
2018/04,BOEING,64
2018/04,BRAEBURN,4
2018/04,BSP,15
2018/04,CAL,22
2018/04,CALSTRS,43
2018/04,CANO,14
2018/04,CAPGROUP,44
